City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,77.49,81,5,15.77,PF,1610408207
1,ribeira grande,38.5167,-28.7,62.53,89,100,20.11,PT,1610408207
2,rikitea,-23.1203,-134.9692,78.4,77,95,18.39,PF,1610408208
3,vila velha,-20.3297,-40.2925,79.0,83,75,10.36,BR,1610408208
4,sinnamary,5.3833,-52.95,77.68,85,43,12.62,GF,1610408208
5,busselton,-33.65,115.3333,63.0,71,100,8.43,AU,1610408208
6,gurlan,41.8447,60.3919,30.2,86,90,2.3,UZ,1610408209
7,airai,-8.9266,125.4092,70.77,85,22,0.6,TL,1610407949
8,alofi,-19.0595,-169.9187,84.2,70,75,10.36,NU,1610407936
9,ballina,-28.8667,153.5667,78.8,61,21,9.22,AU,1610408209
10,russell,32.3502,-85.1999,46.4,87,90,4.61,US,1610408209
11,vaini,-21.2,-175.2,86.0,79,75,10.36,TO,1610408209
12,popondetta,-8.7537,148.2534,84.9,73,93,3.06,PG,1610408210
13,morondava,-20.2833,44.2833,81.46,80,35,5.53,MG,1610408210
14,lompoc,34.6391,-120.4579,60.01,67,1,12.66,US,1610408210
15,lebu,-37.6167,-73.65,55.13,67,0,20.58,CL,1610408210
16,poya,-21.35,165.15,85.6,70,100,3.47,NC,1610408210
17,palembang,-2.9167,104.7458,77.0,94,40,4.61,ID,1610408186
18,banyo,6.75,11.8167,64.47,28,0,4.27,CM,1610408210
19,san angelo,31.4638,-100.437,39.2,65,90,9.22,US,1610408211
20,pevek,69.7008,170.3133,-32.26,85,27,1.48,RU,1610408211
21,mataura,-46.1927,168.8643,72.84,37,0,1.74,NZ,1610408211
22,suicheng,33.8963,117.9331,29.41,82,0,11.65,CN,1610408211
23,bilma,18.6853,12.9164,65.08,26,0,4.29,NE,1610408211
24,komsomolskiy,40.4272,71.7189,24.8,63,0,6.91,UZ,1610408021
25,tiksi,71.6872,128.8694,-35.84,82,80,8.05,RU,1610408211
26,general pico,-35.6566,-63.7568,66.61,25,3,9.4,AR,1610408211
27,cherskiy,68.75,161.3,-34.83,82,0,1.32,RU,1610408212
28,teya,60.3778,92.6267,-17.12,85,88,3.53,RU,1610408212
29,chuy,-33.6971,-53.4616,71.26,93,100,8.97,UY,1610408212
30,dikson,73.5069,80.5464,11.01,97,100,6.6,RU,1610408212
31,asau,46.4333,26.4,30.2,100,90,5.75,RO,1610408212
32,jamestown,42.097,-79.2353,33.01,80,90,11.5,US,1610408117
33,albany,42.6001,-73.9662,30.0,70,90,2.48,US,1610408212
34,cidreira,-30.1811,-50.2056,77.9,85,46,27.18,BR,1610408212
35,tarakan,3.3,117.6333,77.0,94,40,5.75,ID,1610408212
36,alice springs,-23.7,133.8833,86.0,37,0,9.22,AU,1610408032
37,faanui,-16.4833,-151.75,81.81,75,100,19.89,PF,1610408213
38,longyearbyen,78.2186,15.6401,14.0,85,0,3.44,SJ,1610407954
39,sijunjung,-0.6876,100.9537,72.12,90,100,1.54,ID,1610408213
40,georgetown,5.4112,100.3354,79.0,78,20,3.44,MY,1610408033
41,constitucion,-35.3333,-72.4167,57.31,62,0,18.32,CL,1610408213
42,brae,60.3964,-1.353,39.2,81,75,17.27,GB,1610408213
43,nargana,9.4428,-78.5906,80.02,86,85,13.51,PA,1610408213
44,hobart,-42.8794,147.3294,69.01,59,40,13.8,AU,1610408213
45,ushuaia,-54.8,-68.3,46.4,71,75,6.91,AR,1610408214
46,voh,-20.9667,164.7,87.57,68,100,3.04,NC,1610408214
47,kirakira,-10.4544,161.9205,81.5,80,100,2.98,SB,1610408214
48,coffs harbour,-30.3,153.1333,78.8,53,18,6.91,AU,1610407933
49,srednekolymsk,67.45,153.6833,-35.37,83,5,3.8,RU,1610407965
50,thompson,55.7435,-97.8558,23.0,93,90,8.05,CA,1610408214
51,hithadhoo,-0.6,73.0833,80.94,79,77,17.92,MV,1610407939
52,champerico,14.3,-91.9167,84.2,74,40,4.61,GT,1610408214
53,avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,1610408214
54,maningrida,-12.0667,134.2667,87.46,69,40,2.71,AU,1610408214
55,sola,-13.8833,167.55,83.91,74,87,6.85,VU,1610408215
56,buyukcavuslu,41.2423,28.0646,55.4,100,75,2.3,TR,1610408215
57,yellowknife,62.456,-114.3525,8.6,92,20,10.36,CA,1610408215
58,tuatapere,-46.1333,167.6833,70.27,41,1,1.01,NZ,1610408215
59,bredasdorp,-34.5322,20.0403,68.0,88,100,11.5,ZA,1610408215
60,kaeo,-35.1,173.7833,72.55,54,60,8.21,NZ,1610408215
61,la ronge,55.1001,-105.2842,30.2,74,100,6.91,CA,1610408215
62,sidi ali,36.0998,0.4206,46.0,90,95,5.99,DZ,1610408215
63,batagay,67.6333,134.6333,-42.16,75,5,3.09,RU,1610408216
64,maralal,1.0968,36.698,57.07,87,23,3.38,KE,1610408216
65,punta arenas,-53.15,-70.9167,48.2,71,90,33.38,CL,1610407931
66,dingle,10.9995,122.6711,74.62,90,100,13.38,PH,1610408217
67,hermanus,-34.4187,19.2345,66.99,92,90,3.0,ZA,1610408217
68,saint george,37.1041,-113.5841,51.8,24,1,5.75,US,1610408144
69,east london,-33.0153,27.9116,72.57,89,85,7.29,ZA,1610408217
70,mahebourg,-20.4081,57.7,78.8,94,75,14.97,MU,1610408217
71,abu kamal,34.4506,40.9171,52.03,41,1,3.8,SY,1610408217
72,bedford,52.1346,-0.4663,46.99,94,100,8.01,GB,1610408217
73,saint-philippe,-21.3585,55.7679,78.8,83,0,3.44,RE,1610408217
74,imbituba,-28.24,-48.6703,80.6,78,75,6.91,BR,1610408217
75,atbasar,51.8,68.3333,10.27,96,100,11.07,KZ,1610408217
76,port elizabeth,-33.918,25.5701,66.2,100,90,11.5,ZA,1610408218
77,ravar,31.2656,56.8055,37.85,56,0,1.21,IR,1610408218
78,new norfolk,-42.7826,147.0587,69.01,63,44,1.99,AU,1610408218
79,san buenaventura,27.0833,-101.5333,44.01,65,90,8.5,MX,1610408218
80,bohuslav,49.5494,30.8744,27.68,93,82,2.98,UA,1610408218
81,naze,28.3667,129.4833,51.8,82,75,12.66,JP,1610408218
82,henties bay,-22.116,14.2845,69.01,82,94,5.99,NA,1610407949
83,mudgee,-32.5943,149.5871,75.2,53,80,5.75,AU,1610408218
84,lasa,46.6166,10.7002,15.8,53,0,6.91,IT,1610408190
85,bluff,-46.6,168.3333,62.51,60,4,2.08,NZ,1610408219
86,grindavik,63.8424,-22.4338,30.2,74,75,6.91,IS,1610408219
87,luderitz,-26.6481,15.1594,65.5,77,1,18.88,NA,1610408219
88,owando,-0.4819,15.8999,73.81,87,57,3.22,CG,1610408219
89,khatanga,71.9667,102.5,-19.35,88,100,4.85,RU,1610408219
90,dinhata,26.1333,89.4667,61.09,74,5,7.14,IN,1610408219
91,mayumba,-3.432,10.6554,77.99,86,100,7.76,GA,1610408219
92,coihaique,-45.5752,-72.0662,51.8,50,75,10.36,CL,1610408219
93,katsuura,35.1333,140.3,39.2,60,75,9.22,JP,1610408219
94,mathbaria,22.2876,89.9593,65.3,74,100,5.14,BD,1610408220
95,boromo,11.75,-2.9333,75.24,18,0,4.79,BF,1610408220
96,atasu,48.6814,71.6433,20.25,89,67,19.51,KZ,1610408220
97,sestri levante,44.2732,9.3968,39.0,49,0,5.46,IT,1610408220
98,lhokseumawe,5.1801,97.1507,76.26,85,89,8.23,ID,1610408082
99,tuktoyaktuk,69.4541,-133.0374,3.2,85,90,14.97,CA,1610408211
100,mao,39.8885,4.2658,42.8,87,20,5.75,ES,1610408220
101,bambous virieux,-20.3428,57.7575,79.0,94,75,14.97,MU,1610408220
102,san patricio,28.017,-97.5169,50.0,53,75,10.36,US,1610408220
103,rio gallegos,-51.6226,-69.2181,51.8,54,75,5.75,AR,1610408220
